Timestamp,Temperature1,Pressure1,Temperature2,Pressure2
2024-08-28 22:59:35,23.0,1012.96,21.5,1013.27
2024-08-28 22:59:37,23.1,1012.96,21.5,1013.3
2024-08-28 22:59:39,23.0,1013.07,21.5,1013.3
2024-08-28 22:59:41,23.0,1013.08,21.5,1013.3
2024-08-28 22:59:43,23.0,1012.96,21.5,1013.3
2024-08-28 22:59:45,23.0,1012.99,21.5,1013.3
2024-08-28 22:59:47,23.0,1012.99,21.5,1013.18
2024-08-28 22:59:49,23.0,1013.06,21.5,1013.24
2024-08-28 22:59:51,23.0,1012.95,21.5,1013.26
2024-08-28 22:59:53,23.0,1013.07,21.5,1013.31
2024-08-28 22:59:55,23.0,1013.06,21.5,1013.22
2024-08-28 22:59:57,23.0,1012.96,21.5,1013.19
2024-08-28 22:59:59,23.0,1012.95,21.5,1013.2
2024-08-28 23:00:01,23.0,1012.95,21.5,1013.17
2024-08-28 23:00:03,23.0,1012.96,21.5,1013.19
2024-08-28 23:00:05,23.0,1012.96,21.5,1013.31
2024-08-28 23:00:07,23.0,1013.07,21.5,1013.31
2024-08-28 23:00:09,23.0,1013.06,21.5,1013.24
2024-08-28 23:00:11,23.0,1012.99,21.5,1013.28
2024-08-28 23:00:13,23.0,1013.07,21.5,1013.19
2024-08-28 23:00:15,23.0,1012.99,21.5,1013.2
2024-08-28 23:00:17,23.0,1012.96,21.5,1013.21
2024-08-28 23:00:19,23.0,1012.95,21.5,1013.22
2024-08-28 23:00:21,23.0,1012.97,21.5,1013.23
2024-08-28 23:00:23,23.0,1012.94,21.5,1013.3
2024-08-28 23:00:25,23.0,1013.03,21.5,1013.31
2024-08-28 23:00:27,23.0,1012.96,21.5,1013.31
2024-08-28 23:00:29,23.0,1012.94,21.5,1013.2
2024-08-28 23:00:31,23.0,1013.04,21.5,1013.2
2024-08-28 23:00:33,23.0,1012.97,21.5,1013.23
2024-08-28 23:00:35,23.0,1013.09,21.5,1013.2
2024-08-28 23:00:37,23.0,1013.03,21.5,1013.3
2024-08-28 23:00:39,23.0,1013.06,21.5,1013.19
2024-08-28 23:00:41,23.0,1012.97,21.5,1013.29
2024-08-28 23:00:43,23.0,1013.08,21.5,1013.21
2024-08-28 23:00:45,23.0,1012.99,21.5,1013.29
2024-08-28 23:00:47,23.0,1012.97,21.5,1013.18
2024-08-28 23:00:49,23.0,1013.05,21.5,1013.3
2024-08-28 23:00:51,23.0,1012.95,21.5,1013.18
2024-08-28 23:00:53,23.0,1013.05,21.5,1013.19
2024-08-28 23:00:55,23.0,1012.96,21.5,1013.29
2024-08-28 23:00:57,23.0,1013.07,21.5,1013.3
2024-08-28 23:00:59,23.0,1013.05,21.5,1013.2
2024-08-28 23:01:01,23.0,1012.98,21.5,1013.3
2024-08-28 23:01:03,23.0,1012.96,21.5,1013.21
2024-08-28 23:01:05,23.0,1012.94,21.6,1013.26
2024-08-28 23:01:07,23.0,1013.03,21.6,1013.18
2024-08-28 23:01:09,23.0,1013.02,21.5,1013.24
2024-08-28 23:01:11,23.0,1012.97,21.6,1013.19
2024-08-28 23:01:13,23.0,1012.96,21.5,1013.2
2024-08-28 23:01:15,23.0,1012.96,21.5,1013.28
2024-08-28 23:01:17,23.0,1012.96,21.6,1013.2
2024-08-28 23:01:19,23.0,1012.99,21.5,1013.2
2024-08-28 23:01:21,23.0,1012.96,21.6,1013.19
2024-08-28 23:01:23,23.0,1013.0,21.5,1013.19
2024-08-28 23:01:25,23.0,1013.08,21.5,1013.31
2024-08-28 23:01:38,23.0,1013.05,21.6,1013.2
